Complexity,Loss,Equation
1,0.003117298287992698,"1.0283425620195659"
3,0.0008828978846393651,"x2 / 280.9163511387151"
5,0.0005587015327520074,"(x2 / 380.6898488002585) - -0.27039896353377074"
7,0.0005587015327520073,"((x2 / 380.68984811260344) - -0.01663999291238238) + 0.25375896898699674"
9,3.1302425058918965e-7,"(x2 / 201.09071381085113) - ((x2 - x3) / 407.67624825599404)"
11,3.6530285284892332e-9,"((x2 / 203.92689231637638) - ((x2 - x3) / 407.26879801609624)) * 1.02021806662029"
